fecha_extraccion,retailer,categoria,producto,precio_lista_crc,precio_oferta_crc,descuento_pct,presentacion_ml,url_fuente,tipo_extraccion,precio_final_crc,producto_normalizado,retailer_normalizado,precio_equivalente_750ml_crc,segmento_precio,tipo_cambio_compra_usd,tipo_cambio_venta_usd
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Fantini terre siciliante pinot grigio - 750 ml,6110.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,6110.0,vino blanco fantini terre siciliante pinot grigio - 750 ml,masxmenos costa rica,6110.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Peter Brum Liebfraulmil Blan - 750ml,5100.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,5100.0,vino peter brum liebfraulmil blan - 750ml,masxmenos costa rica,5100.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Don Simón premium selección chardonnay - 1000 ml,2530.0,,0,1000.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,2530.0,vino don simón premium selección chardonnay - 1000 ml,masxmenos costa rica,1897.5,económico,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Trivento malbec reserva 2022 - 750 ml,8960.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,8960.0,vino blanco trivento malbec reserva 2022 - 750 ml,masxmenos costa rica,8960.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Blue Nun Authentic White- 750ml,6830.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,6830.0,vino blanco blue nun authentic white- 750ml,masxmenos costa rica,6830.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Blanco Pasqua Pinot Grigio -1500ml,11560.0,,0,1500.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,11560.0,vino blanco pasqua pinot grigio -1500ml,masxmenos costa rica,5780.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Santa Carolina Chardonay Botella - 750 ml,3895.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,3895.0,vino santa carolina chardonay botella - 750 ml,masxmenos costa rica,3895.0,económico,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Protos verdejo criado sobre lias finas - 750 ml,8310.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,8310.0,vino blanco protos verdejo criado sobre lias finas - 750 ml,masxmenos costa rica,8310.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Frontera chardonnay viñedo protegido por la naturaleza - 750 ml,6070.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,6070.0,vino blanco frontera chardonnay viñedo protegido por la naturaleza - 750 ml,masxmenos costa rica,6070.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Adobe Chardonnay orgánico -375 ml,4900.0,,0,375.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,4900.0,vino adobe chardonnay orgánico -375 ml,masxmenos costa rica,9800.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco La Linda sweet viognier – 750 ml,8380.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,8380.0,vino blanco la linda sweet viognier – 750 ml,masxmenos costa rica,8380.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Luigi Bosca de Sangre - 750 ml,15444.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,15444.0,vino luigi bosca de sangre - 750 ml,masxmenos costa rica,15444.0,super premium,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Ruffino Blanco Orvieto - 750ml,7743.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,7743.0,vino ruffino blanco orvieto - 750ml,masxmenos costa rica,7743.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Blanco Tarapacá Pinot Grigio - 750 ml,4950.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,4950.0,vino blanco tarapacá pinot grigio - 750 ml,masxmenos costa rica,4950.0,económico,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Maipo blanco Chardonnay -1.5 L,7500.0,,0,1500.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,7500.0,vino maipo blanco chardonnay -1.5 l,masxmenos costa rica,3750.0,económico,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Tinto Fantini Trebbiano D Abruzzo -750ml,6110.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,6110.0,vino tinto fantini trebbiano d abruzzo -750ml,masxmenos costa rica,6110.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Casillero del Diablo Phenomenal Sauvignon - 750 ml,8660.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,8660.0,vino casillero del diablo phenomenal sauvignon - 750 ml,masxmenos costa rica,8660.0,medio,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Les Jamelles Chardonay - 750ml,15380.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,15380.0,vino les jamelles chardonay - 750ml,masxmenos costa rica,15380.0,super premium,446.61,451.08
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Twin View Cabernet 750ml,5000.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live,5000.0,vino twin view cabernet 750ml,masxmenos costa rica,5000.0,económico,446.61,451.08
